image_path,label,split,ph,temperature,dissolved_oxygen,salinity,ammonia,turbidity
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_224.jpg,Bacterial gill disease,train,5.64,29.08,2.16,26.18,0.059,46.81
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_225.jpg,Bacterial gill disease,train,5.85,28.68,3.17,24.61,0.09,58.52
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_226.jpg,Bacterial gill disease,train,6.27,31.46,5.35,29.4,0.08,34.96
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_227.jpg,Bacterial gill disease,val,6.05,28.92,3.93,25.8,0.015,33.14
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_229.jpg,Bacterial gill disease,val,4.71,35.58,3.85,29.93,0.094,48.69
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_230.jpg,Bacterial gill disease,train,5.93,33.11,3.16,22.38,0.338,11.75
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_235.jpg,Bacterial gill disease,val,5.22,33.38,2.91,21.18,0.151,35.76
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_236.jpg,Bacterial gill disease,train,5.95,30.25,4.72,34.5,0.168,32.67
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_238.jpg,Bacterial gill disease,train,6.5,34.69,2.27,28.87,0.051,34.03
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_239.jpg,Bacterial gill disease,train,5.74,29.65,2.76,31.33,0.655,45.67
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_24.jpeg,Bacterial gill disease,train,6.37,34.04,2.79,25.13,0.203,42.69
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_241.jpg,Bacterial gill disease,train,5.78,32.21,2.32,30.73,0.062,41.39
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_242.jpg,Bacterial gill disease,train,6.42,32.34,4.18,25.45,0.153,49.58
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_243.jpg,Bacterial gill disease,train,6.08,28.73,2.45,25.33,0.068,44.3
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_244.jpg,Bacterial gill disease,train,6.63,29.48,3.57,17.01,0.227,40.0
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_249.jpg,Bacterial gill disease,train,5.78,34.47,2.89,29.53,0.008,39.01
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_25.jpg,Bacterial gill disease,train,4.0,32.92,5.96,30.03,0.013,84.26
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_250.jpg,Bacterial gill disease,train,5.93,31.72,3.16,26.3,0.068,47.49
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_252.jpg,Bacterial gill disease,val,5.56,29.96,2.3,26.2,0.347,57.57
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_255.jpg,Bacterial gill disease,train,5.5,32.89,3.9,35.39,0.662,38.6
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_256.jpg,Bacterial gill disease,train,6.88,29.2,3.8,27.22,0.814,44.36
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_257.jpg,Bacterial gill disease,train,6.03,31.54,4.46,31.94,0.096,48.31
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_258.jpg,Bacterial gill disease,val,6.42,33.19,4.38,25.58,0.146,42.7
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_259.jpg,Bacterial gill disease,train,6.7,29.83,3.71,27.24,0.016,34.05
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_260.jpg,Bacterial gill disease,val,6.28,31.21,0.81,27.25,0.271,28.7
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_261.jpg,Bacterial gill disease,train,6.38,34.8,2.44,34.99,0.129,42.3
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_262.jpg,Bacterial gill disease,train,6.46,28.94,2.71,25.88,0.141,34.43
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_263.jpg,Bacterial gill disease,train,6.31,29.57,1.74,29.08,0.17,52.8
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_265.jpg,Bacterial gill disease,train,5.13,33.28,3.28,33.05,0.269,36.54
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_266.jpg,Bacterial gill disease,train,6.26,34.18,3.79,29.15,0.128,49.67
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_267.jpg,Bacterial gill disease,train,6.4,28.17,5.13,34.07,0.008,51.02
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_268.jpg,Bacterial gill disease,train,5.53,31.19,3.41,23.03,0.088,44.34
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_27.jpg,Bacterial gill disease,val,6.37,29.97,4.71,30.23,0.073,31.65
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_271.jpg,Bacterial gill disease,train,6.75,29.82,3.13,33.3,0.108,56.54
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_272.jpg,Bacterial gill disease,train,5.79,27.2,0.93,26.2,0.12,50.52
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_273.jpg,Bacterial gill disease,train,7.81,33.88,0.5,26.45,0.674,48.36
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_274.jpg,Bacterial gill disease,train,4.74,32.13,2.1,28.24,0.314,49.47
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_277.jpg,Bacterial gill disease,train,6.47,31.39,2.73,28.9,0.109,23.15
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_278.jpg,Bacterial gill disease,train,6.79,32.06,4.16,22.51,0.028,37.91
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_279.jpg,Bacterial gill disease,train,7.14,28.86,2.76,28.82,0.126,41.23
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_298.jpg,Bacterial gill disease,train,5.89,30.77,2.78,21.94,0.175,48.22
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_318.jpg,Bacterial gill disease,train,6.24,32.73,2.18,34.81,0.349,64.9
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_32.jpg,Bacterial gill disease,val,6.31,32.94,3.64,28.94,0.194,42.51
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_34.jpg,Bacterial gill disease,train,4.92,28.21,3.05,29.24,0.465,68.5
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_357.jpg,Bacterial gill disease,train,4.5,26.46,3.81,27.62,0.326,49.2
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_358.jpg,Bacterial gill disease,train,6.73,32.46,3.1,30.32,0.382,45.73
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_359.jpg,Bacterial gill disease,train,5.9,29.18,3.49,22.83,0.092,50.72
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_360.jpg,Bacterial gill disease,train,5.18,30.29,4.53,23.16,0.354,36.6
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_361.jpg,Bacterial gill disease,train,7.09,29.79,2.71,29.96,0.652,41.42
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_363.jpg,Bacterial gill disease,train,5.96,34.3,0.66,26.35,0.003,38.23
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_368.jpg,Bacterial gill disease,train,7.0,31.1,3.55,31.81,0.079,34.79
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_372.jpg,Bacterial gill disease,train,6.61,25.68,3.12,25.59,0.446,39.09
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_373.jpg,Bacterial gill disease,train,6.49,30.72,2.48,31.37,0.022,41.31
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_374.jpg,Bacterial gill disease,train,4.36,30.06,2.37,21.47,0.189,47.52
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_375.jpg,Bacterial gill disease,train,5.39,29.48,3.56,26.16,0.112,38.05
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_377.jpg,Bacterial gill disease,train,5.87,31.4,3.12,26.34,0.299,50.25
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_38.jpg,Bacterial gill disease,train,5.42,28.49,2.6,22.13,0.279,39.99
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_381.jpg,Bacterial gill disease,train,6.69,32.31,2.32,26.68,0.335,59.01
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_39.jpg,Bacterial gill disease,train,5.41,33.23,4.66,26.36,0.158,52.12
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_392.jpg,Bacterial gill disease,train,5.18,26.3,3.77,20.47,0.475,54.28
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_393.jpg,Bacterial gill disease,val,6.43,28.62,2.66,24.91,0.502,53.3
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_403.jpg,Bacterial gill disease,train,6.64,32.13,4.15,23.29,0.225,61.23
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_405.jpg,Bacterial gill disease,train,6.65,26.86,2.78,25.06,0.295,52.21
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_41.jpg,Bacterial gill disease,val,6.92,32.74,3.43,24.05,0.473,42.14
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_42.jpg,Bacterial gill disease,train,4.83,29.96,1.58,23.72,0.199,64.11
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_44.jpg,Bacterial gill disease,train,6.7,27.86,3.35,31.75,0.207,37.27
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_45.jpg,Bacterial gill disease,train,6.1,26.83,4.05,27.31,0.039,52.72
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_46.jpg,Bacterial gill disease,val,6.24,26.36,3.68,29.19,0.393,56.82
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_47.jpg,Bacterial gill disease,train,5.89,28.8,4.39,32.75,0.225,59.36
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_49.jpg,Bacterial gill disease,train,6.5,35.85,2.5,26.49,0.025,37.4
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_5.jpg,Bacterial gill disease,train,7.44,33.2,3.98,24.33,0.073,58.55
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_51.png,Bacterial gill disease,train,6.15,32.39,2.51,28.12,0.199,59.18
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_52.jpg,Bacterial gill disease,train,5.15,30.17,3.03,25.49,0.049,42.12
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_53.jpg,Bacterial gill disease,train,6.95,24.78,4.22,29.35,0.099,36.82
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_54.jpg,Bacterial gill disease,train,5.12,28.12,4.11,29.35,0.034,35.62
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_55.jpg,Bacterial gill disease,train,6.76,33.65,3.63,29.45,0.173,52.45
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_56.jpg,Bacterial gill disease,train,6.96,36.22,2.39,26.55,0.034,49.16
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_57.jpg,Bacterial gill disease,val,6.07,28.54,4.1,37.28,0.022,56.8
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_58.jpg,Bacterial gill disease,train,7.47,33.76,3.58,27.99,0.292,39.11
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_60.jpg,Bacterial gill disease,train,6.65,27.14,4.47,30.3,0.113,39.81
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_62.png,Bacterial gill disease,train,7.4,32.26,4.64,30.82,0.005,42.57
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_63.jpg,Bacterial gill disease,train,5.48,34.08,2.43,34.51,0.353,22.44
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_64.jpg,Bacterial gill disease,train,5.47,29.7,0.5,29.71,0.119,45.77
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_65.jpg,Bacterial gill disease,train,6.37,28.55,2.28,21.25,0.031,42.87
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_66.jpg,Bacterial gill disease,train,6.68,29.23,4.76,25.9,0.42,46.78
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_68.jpg,Bacterial gill disease,train,6.34,31.33,3.14,23.22,0.23,27.03
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_70.jpg,Bacterial gill disease,train,9.16,30.3,4.21,30.02,0.059,37.72
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_71.jpg,Bacterial gill disease,train,6.23,33.57,4.08,25.74,0.194,46.24
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_74.jpg,Bacterial gill disease,train,5.62,27.06,2.56,27.7,0.142,44.24
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_77.jpg,Bacterial gill disease,val,6.4,34.72,5.02,26.38,0.441,37.93
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_78.jpg,Bacterial gill disease,val,6.64,32.09,1.17,30.73,0.279,46.26
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_80.jpg,Bacterial gill disease,train,5.7,29.99,4.79,24.67,0.12,46.32
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_81.jpg,Bacterial gill disease,train,5.75,27.77,2.77,25.57,0.429,44.23
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_82.jpg,Bacterial gill disease,train,5.03,33.66,3.4,33.54,0.437,57.41
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_83.jpg,Bacterial gill disease,train,6.44,32.31,3.12,37.09,0.062,53.89
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_84.jpg,Bacterial gill disease,train,5.33,31.73,3.32,25.54,0.361,29.56
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_85.jpg,Bacterial gill disease,train,6.18,30.72,2.56,26.45,0.057,40.86
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_86.jpg,Bacterial gill disease,train,6.02,29.6,0.86,36.21,0.121,43.02
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_9.png,Bacterial gill disease,train,6.39,35.24,2.71,28.63,0.803,55.24
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_92.jpg,Bacterial gill disease,train,5.85,31.33,2.84,27.13,0.047,28.62
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_93.jpg,Bacterial gill disease,val,6.17,33.44,1.52,32.61,0.132,58.86
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_95.jpg,Bacterial gill disease,train,5.88,30.84,2.39,25.94,0.026,46.1
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_96.jpg,Bacterial gill disease,train,6.4,28.69,1.92,26.69,0.049,42.87
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_97.jpg,Bacterial gill disease,train,6.41,35.84,3.85,27.81,0.019,36.03
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_99.jpg,Bacterial gill disease,train,5.31,31.11,3.24,25.99,0.132,31.28
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_0.jpg,Bacterial gill disease,train,6.4,29.67,4.18,24.49,0.136,57.01
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_1.jpg,Bacterial gill disease,train,6.27,29.01,3.54,33.12,0.129,22.83
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_10.jpg,Bacterial gill disease,train,5.52,35.07,2.73,23.3,0.277,18.73
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_101.jpg,Bacterial gill disease,train,5.79,34.74,4.69,27.59,0.202,32.61
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_102.jpg,Bacterial gill disease,train,6.51,28.97,3.16,27.36,0.379,28.79
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_103.jpg,Bacterial gill disease,train,6.36,34.44,3.45,30.75,0.167,59.67
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_104.jpg,Bacterial gill disease,train,5.78,27.08,3.48,38.05,0.085,44.98
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_105.jpg,Bacterial gill disease,train,5.96,32.6,3.3,27.55,0.024,32.01
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_106.jpg,Bacterial gill disease,train,4.79,33.99,3.97,28.21,0.055,54.36
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_108.jpg,Bacterial gill disease,train,6.21,30.26,4.25,29.28,0.212,46.94
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_110.jpg,Bacterial gill disease,val,5.6,29.4,2.55,23.74,0.202,29.44
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_114.jpg,Bacterial gill disease,train,7.22,31.18,2.17,25.22,0.128,35.82
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_116.jpg,Bacterial gill disease,train,6.74,32.51,5.04,22.08,0.272,49.8
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_117.jpg,Bacterial gill disease,val,6.22,28.57,4.01,29.34,0.074,42.73
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_121.jpg,Bacterial gill disease,train,7.33,31.0,3.83,24.84,0.357,36.93
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_123.jpg,Bacterial gill disease,train,5.08,31.09,3.29,27.28,0.381,48.96
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_127.jpg,Bacterial gill disease,train,5.51,30.29,4.16,31.58,0.214,45.22
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_128.jpg,Bacterial gill disease,train,5.22,35.74,2.44,24.66,0.13,52.64
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_129.jpg,Bacterial gill disease,train,5.3,29.41,1.53,30.98,0.348,29.92
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_131.jpg,Bacterial gill disease,train,6.08,28.97,2.31,29.03,0.09,47.13
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_132.jpg,Bacterial gill disease,train,6.34,32.38,3.56,24.7,0.725,33.66
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_134.jpg,Bacterial gill disease,val,6.84,31.4,4.97,26.56,0.405,37.72
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_136.jpg,Bacterial gill disease,train,6.82,27.86,3.79,30.36,0.729,53.17
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_138.jpg,Bacterial gill disease,train,5.84,33.57,3.9,23.43,0.516,53.2
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_139.jpg,Bacterial gill disease,train,6.14,30.62,4.15,27.67,0.121,48.39
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial gill disease\Bacterial gill disease_aug_14.jpg,Bacterial gill disease,val,5.9,32.51,2.52,37.94,0.154,47.65
