image_path,label,split,ph,temperature,dissolved_oxygen,salinity,ammonia,turbidity
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-64-img-2.jpg,BG,train,5.65,30.9,2.06,28.51,0.078,38.19
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-64-img-3.jpg,BG,test,5.83,26.28,2.84,18.3,0.229,55.24
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-65-img-1.jpg,BG,train,5.44,28.58,3.16,27.99,0.241,33.42
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-66-img-1.jpg,BG,train,5.97,31.07,3.37,19.83,0.023,42.31
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-66-img-2.jpg,BG,test,6.05,28.5,2.98,35.19,0.403,51.41
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-66-img-3.jpg,BG,train,6.94,33.31,3.25,25.41,0.309,48.93
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-67-img-1.jpg,BG,train,6.51,33.62,2.77,33.27,0.151,46.98
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-67-img-2.jpg,BG,train,7.14,31.49,2.68,26.06,0.514,34.68
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-67-img-3.jpg,BG,train,5.78,30.94,4.91,34.91,0.065,49.36
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-68-img-1.jpg,BG,test,6.12,31.3,3.69,23.91,0.019,55.91
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-68-img-2.jpg,BG,train,6.26,29.79,6.03,23.1,1.099,30.36
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-68-img-3.jpg,BG,train,7.11,29.85,4.06,27.85,0.577,28.67
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-69-img-2.jpg,BG,val,5.76,34.69,4.3,25.5,0.315,48.96
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-69-img-3.jpg,BG,train,5.77,29.32,3.18,32.69,0.071,43.43
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-7-img-1.jpg,BG,train,6.74,33.87,1.81,26.55,0.872,33.8
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-7-img-2.jpg,BG,train,5.32,33.9,2.83,29.39,0.875,29.44
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-7-img-3.jpg,BG,val,5.94,31.19,2.17,31.99,0.141,40.06
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-70-img-1.jpg,BG,test,7.0,33.13,2.92,26.6,0.009,53.47
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-70-img-2.jpg,BG,train,6.83,31.95,3.54,32.12,0.058,47.39
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-70-img-3.jpg,BG,train,6.06,30.91,3.78,28.21,0.01,43.69
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-71-img-1.jpg,BG,train,5.48,31.2,1.6,31.67,0.152,48.46
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-71-img-2.jpg,BG,train,7.35,30.65,4.09,23.84,0.056,47.77
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-71-img-3.jpg,BG,val,5.71,30.52,3.37,31.48,0.723,49.96
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-72-img-1.jpg,BG,train,7.54,30.86,3.36,32.2,0.008,46.98
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-72-img-2.jpg,BG,val,6.37,32.6,2.29,34.53,0.028,33.54
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-72-img-3.jpg,BG,train,6.06,31.82,3.46,29.69,0.209,50.64
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-73-img-1.jpg,BG,val,6.31,33.97,2.22,30.39,0.4,52.01
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-73-img-2.jpg,BG,train,6.01,31.31,3.06,28.06,0.098,32.22
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-73-img-3.jpg,BG,train,5.11,28.52,1.48,25.44,0.064,31.77
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-74-img-1.jpg,BG,test,7.09,33.52,2.65,37.01,0.119,45.59
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-74-img-2.jpg,BG,train,6.78,27.53,1.88,32.09,0.234,69.4
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-74-img-3.jpg,BG,val,6.46,33.13,3.81,29.12,0.07,43.11
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-8-img-1.jpg,BG,train,6.43,26.77,3.12,24.05,0.406,33.96
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-8-img-2.jpg,BG,train,6.65,27.07,2.41,31.76,0.133,43.66
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-8-img-3.jpg,BG,test,6.0,31.26,2.13,25.59,0.209,48.2
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-9-img-1.jpg,BG,train,6.09,32.38,3.38,33.46,0.011,49.72
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-9-img-2.jpg,BG,test,6.18,31.12,3.23,25.19,0.236,38.37
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-9-img-3.jpg,BG,test,5.35,29.27,2.63,31.58,0.432,63.2
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-1-img-1.jpg,Healthy,train,6.95,24.75,7.57,12.62,0.027,12.93
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-1-img-2.jpg,Healthy,test,7.14,25.81,6.52,14.71,0.019,7.39
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-1-img-3.jpg,Healthy,train,7.28,25.87,7.79,13.39,0.011,16.92
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-10-img-1.jpg,Healthy,val,7.37,28.44,6.31,14.59,0.002,8.7
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-10-img-2.jpg,Healthy,train,6.99,26.05,6.12,15.47,0.042,7.33
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-10-img-3.jpg,Healthy,train,6.6,26.56,7.11,12.58,0.103,14.08
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-100-img-1.jpg,Healthy,train,7.78,24.94,6.47,16.12,0.004,12.23
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-100-img-2.jpg,Healthy,train,7.25,23.88,6.44,13.19,0.028,15.94
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-101-img-1.jpg,Healthy,train,6.84,24.36,6.34,17.43,0.015,12.43
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-101-img-2.jpg,Healthy,train,7.26,25.54,6.57,14.7,0.03,8.79
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-101-img-3.jpg,Healthy,train,6.93,23.25,6.75,12.79,0.018,5.54
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-102-img-1.jpg,Healthy,train,7.2,27.26,6.54,14.8,0.01,13.71
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-102-img-2.jpg,Healthy,train,7.38,25.74,6.12,16.07,0.008,9.3
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-102-img-3.jpg,Healthy,train,7.53,26.71,6.49,16.64,0.019,10.05
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-103-img-1.jpg,Healthy,train,7.36,24.4,6.35,13.78,0.001,11.44
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-103-img-2.jpg,Healthy,train,7.22,26.79,6.46,15.97,0.007,3.34
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-103-img-3.jpg,Healthy,train,7.07,24.19,9.04,18.06,0.003,15.66
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-104-img-1.jpg,Healthy,train,7.24,25.49,6.19,14.4,0.024,12.05
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-104-img-2.jpg,Healthy,train,6.98,26.66,7.1,16.9,0.015,7.55
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-105-img-1.jpg,Healthy,train,7.55,25.66,5.05,11.4,0.035,14.64
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-105-img-2.jpg,Healthy,test,6.42,25.18,6.7,12.04,0.0,12.55
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-105-img-3.jpg,Healthy,train,7.2,26.87,6.56,13.05,0.012,8.42
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-106-img-1.jpg,Healthy,train,7.19,25.74,7.36,12.26,0.012,7.16
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-106-img-2.jpg,Healthy,train,7.0,27.56,6.2,18.65,0.006,11.73
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-106-img-3.jpg,Healthy,train,7.48,27.11,6.65,17.6,0.001,16.68
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-107-img-2.jpg,Healthy,train,7.34,24.98,7.51,15.27,0.001,12.71
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-108-img-1.jpg,Healthy,train,7.06,23.98,6.01,17.4,0.022,10.03
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-108-img-3.jpg,Healthy,train,7.56,27.08,7.0,13.49,0.02,8.24
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-109-img-1.jpg,Healthy,test,7.05,27.99,6.78,15.91,0.001,18.5
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-109-img-2.jpg,Healthy,train,7.01,27.39,6.53,15.54,0.017,14.24
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-109-img-3.jpg,Healthy,train,7.38,25.45,6.08,12.91,0.012,6.1
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-11-img-1.jpg,Healthy,train,7.13,25.58,6.65,16.63,0.007,12.91
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-11-img-2.jpg,Healthy,test,7.28,25.75,6.64,14.5,0.037,16.82
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-11-img-3.jpg,Healthy,test,7.4,27.76,6.59,12.41,0.084,11.72
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-110-img-1.jpg,Healthy,val,7.17,25.21,6.79,17.48,0.026,12.06
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-110-img-2.jpg,Healthy,train,7.27,29.9,6.78,11.48,0.023,12.99
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-110-img-3.jpg,Healthy,train,7.47,25.79,5.89,14.58,0.032,9.45
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-111-img-1.jpg,Healthy,train,9.16,26.59,4.72,15.89,0.009,12.83
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-111-img-2.jpg,Healthy,train,7.39,25.82,6.71,13.23,0.007,10.69
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-111-img-3.jpg,Healthy,train,6.97,25.4,4.32,16.87,0.01,17.04
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-112-img-1.jpg,Healthy,train,7.58,25.17,7.78,13.87,0.017,12.55
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-112-img-2.jpg,Healthy,train,7.82,27.81,7.01,16.19,0.006,11.98
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-112-img-3.jpg,Healthy,train,7.59,25.74,6.27,16.39,0.031,14.87
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-113-img-1.jpg,Healthy,train,6.86,25.71,6.14,11.27,0.002,13.44
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-113-img-2.jpg,Healthy,train,6.79,24.46,7.43,17.44,0.003,13.75
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-113-img-3.jpg,Healthy,train,5.91,27.63,7.65,18.09,0.004,7.77
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-114-img-1.jpg,Healthy,val,6.67,26.48,6.43,14.07,0.041,7.22
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-115-img-1.jpg,Healthy,val,7.35,25.2,5.92,9.26,0.003,12.62
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-115-img-2.jpg,Healthy,train,7.09,28.49,6.27,13.8,0.019,13.41
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-115-img-3.jpg,Healthy,train,7.43,27.84,6.45,14.59,0.006,13.07
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-116-img-1.jpg,Healthy,train,7.13,27.37,6.1,17.99,0.001,11.19
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-117-img-1.jpg,Healthy,train,6.47,27.33,6.87,14.44,0.0,12.74
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-117-img-2.jpg,Healthy,train,7.23,23.66,6.24,16.59,0.004,8.24
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-118-img-1.jpg,Healthy,train,7.34,25.95,5.69,17.33,0.002,10.72
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-118-img-2.jpg,Healthy,train,7.04,26.3,7.07,12.97,0.039,12.19
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-118-img-3.jpg,Healthy,train,7.25,25.45,6.09,15.17,0.012,8.2
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-119-img-1.jpg,Healthy,train,7.18,26.65,6.95,10.27,0.021,8.97
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-119-img-2.jpg,Healthy,train,7.21,24.91,6.41,17.75,0.001,10.11
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-119-img-3.jpg,Healthy,train,7.38,25.28,6.02,15.25,0.005,16.87
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-12-img-1.jpg,Healthy,train,7.11,23.66,6.94,14.84,0.015,9.08
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-12-img-2.jpg,Healthy,test,7.2,25.36,7.07,15.23,0.007,7.69
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-12-img-3.jpg,Healthy,train,7.76,27.62,6.28,17.56,0.049,8.34
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-120-img-1.jpg,Healthy,train,7.24,25.03,7.01,14.33,0.004,10.79
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-120-img-2.jpg,Healthy,train,6.91,26.64,7.53,12.86,0.002,12.57
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-120-img-3.jpg,Healthy,train,7.27,25.88,6.73,12.88,0.043,13.28
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-121-img-1.jpg,Healthy,train,7.56,29.88,6.79,15.65,0.002,9.58
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-121-img-2.jpg,Healthy,train,7.38,26.25,7.16,12.99,0.013,15.42
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-121-img-3.jpg,Healthy,test,6.56,25.09,7.15,14.95,0.008,13.64
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-122-img-1.jpg,Healthy,train,6.95,25.64,6.32,14.22,0.012,9.23
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-122-img-2.jpg,Healthy,train,7.57,28.28,7.0,14.14,0.013,12.11
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-122-img-3.jpg,Healthy,train,7.24,24.23,7.09,14.07,0.004,12.6
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-123-img-1.jpg,Healthy,train,7.38,25.29,6.94,12.31,0.024,6.19
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-123-img-2.jpg,Healthy,train,7.24,26.77,6.59,15.7,0.031,13.47
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-123-img-3.jpg,Healthy,val,7.32,25.64,6.84,18.8,0.002,6.89
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-124-img-1.jpg,Healthy,train,6.52,22.74,6.92,13.93,0.027,11.73
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-124-img-2.jpg,Healthy,train,7.41,25.35,6.76,14.48,0.028,14.67
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-124-img-3.jpg,Healthy,train,7.04,26.55,7.42,14.55,0.0,10.95
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-125-img-1.jpg,Healthy,train,7.44,23.58,5.97,12.86,0.027,13.28
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-125-img-2.jpg,Healthy,train,7.47,25.84,6.42,15.14,0.001,15.49
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-125-img-3.jpg,Healthy,train,6.92,26.36,6.99,16.0,0.042,13.96
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-126-img-1.jpg,Healthy,train,8.01,25.02,5.58,16.02,0.045,16.12
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-126-img-2.jpg,Healthy,train,7.68,27.97,7.32,16.48,0.005,9.1
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-126-img-3.jpg,Healthy,train,7.21,29.26,6.41,15.25,0.027,13.65
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-127-img-1.jpg,Healthy,train,7.01,26.29,6.13,12.36,0.013,11.34
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-127-img-2.jpg,Healthy,train,6.27,23.74,5.75,15.16,0.0,7.63
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-127-img-3.jpg,Healthy,train,7.3,28.01,5.56,15.23,0.054,9.66
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-128-img-1.jpg,Healthy,train,7.14,25.52,6.1,17.15,0.014,12.06
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-128-img-2.jpg,Healthy,train,6.99,23.73,5.6,11.83,0.048,14.32
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-128-img-3.jpg,Healthy,train,7.66,25.28,6.57,18.22,0.002,14.69
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-129-img-1.jpg,Healthy,val,6.55,24.92,6.39,13.03,0.028,13.54
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-129-img-2.jpg,Healthy,val,7.15,24.36,7.21,14.8,0.02,12.06
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-129-img-3.jpg,Healthy,val,7.49,26.43,6.19,15.72,0.047,12.18
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-13-img-1.jpg,Healthy,train,7.14,25.95,4.85,14.74,0.017,6.35
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-13-img-2.jpg,Healthy,test,7.58,24.7,6.98,15.85,0.024,17.52
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-13-img-3.jpg,Healthy,train,6.98,27.5,6.16,17.78,0.035,11.25
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-130-img-1.jpg,Healthy,train,7.16,27.22,6.9,11.5,0.009,16.76
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-130-img-2.jpg,Healthy,test,7.43,24.36,6.29,12.79,0.044,11.36
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-130-img-3.jpg,Healthy,train,7.59,28.09,6.22,14.58,0.011,15.33
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\Healthy\Healthy-131-img-1.jpg,Healthy,train,6.84,24.15,6.2,14.95,0.023,12.84
